A,BSL,F,TOTAL,PER,NO	2687938 	2712413 	2731370 	2802472 	2879196 	2952680 	3017318 	3071564 	3115454 	3151644 	3183893 	3216117 	3248886 	3276712 	3295844 	3309145 	3320845 	3332159 
A,BSL,F,TOTAL,PER,PL	19443954 	20004396 	19948558 	19389675 	18885454 	18508260 	18131297 	17761307 	17391727 	17017332 	16615588 	16188732 	15775033 	15397665 	15097341 	14885095 	14761441 	14696131 
A,BSL,F,TOTAL,PER,PT	5428941 	5452080 	5432157 	5354497 	5280233 	5205847 	5117240 	5012228 	4898005 	4785907 	4682471 	4593029 	4523993 	4483711 	4471528 	4478865 	4499215 	4532346 
A,BSL,F,TOTAL,PER,RO	9802644 	9801765 	9693508 	9357727 	9060208 	8800067 	8559068 	8326389 	8108743 	7887103 	7679625 	7502007 	7369888 	7275698 	7221361 	7196579 	7198305 	7212266 
A,BSL,F,TOTAL,PER,SE	5191619 	5249812 	5317907 	5463625 	5596341 	5727414 	5858161 	5984085 	6095737 	6190177 	6269404 	6341928 	6408490 	6462437 	6496344 	6515133 	6531168 	6543095 
A,BSL,F,TOTAL,PER,SI	1049485 	1054005 	1053532 	1047144 	1040486 	1035064 	1028984 	1019410 	1005911 	989972 	974523 	961224 	951103 	944073 	939679 	937559 	937096 	936746 
A,BSL,F,TOTAL,PER,SK	2776809 	2837872 	2836615 	2792930 	2746576 	2709051 	2672934 	2636275 	2596937 	2551128 	2496890 	2439455 	2386345 	2341867 	2308742 	2286760 	2274707 	2269788 
A,BSL,M,TOTAL,PER,AT	4425485 	4453939 	4469078 	4527798 	4584718 	4632353 	4667586 	4691132 	4702584 	4709188 	4717038 	4727988 	4738362 	4744715 	4749085 	4753677 	4760766 	4768965 
A,BSL,M,TOTAL,PER,BE	5733645 	5783134 	5833569 	5927078 	6010861 	6088429 	6149927 	6191120 	6213946 	6229135 	6244303 	6262643 	6280879 	6290235 	6285882 	6270933 	6250020 	6224282 
A,BSL,M,TOTAL,PER,BG	3311311 	3335983 	3295893 	3167745 	3059454 	2978949 	2911130 	2847594 	2785666 	2721500 	2657915 	2603881 	2563616 	2536676 	2522775 	2519935 	2523501 	2528474 
A,BSL,M,TOTAL,PER,CH	4338203 	4375270 	4421554 	4533737 	4627514 	4705743 	4771527 	4826231 	4865865 	4892757 	4912717 	4930010 	4944254 	4956159 	4968385 	4983403 	5002662 	5023061 
A,BSL,M,TOTAL,PER,CY	441083 	449099 	456732 	465769 	471039 	474555 	477004 	479424 	482458 	485877 	488791 	490594 	491364 	491737 	492436 	494649 	498367 	502958 
